"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"15","-","-","0","0","","v New Zealand","Colombo (RPS)","20 Jul 2001"
"49*","-","-","0","0","","v Sri Lanka","Colombo (RPS)","22 Jul 2001"
"27","-","-","2","0","","v New Zealand","Colombo (RPS)","26 Jul 2001"
"43","-","-","0","0","","v Sri Lanka","Colombo (RPS)","28 Jul 2001"
"47","-","-","1","0","","v Sri Lanka","Colombo (SSC)","1 Aug 2001"
"57*","-","-","0","0","","v New Zealand","Colombo (SSC)","2 Aug 2001"
"21","-","-","0","0","","v Sri Lanka","Colombo (RPS)","5 Aug 2001"
"1","-","-","1","0","","v South Africa","Johannesburg","5 Oct 2001"
"54","-","-","1","0","","v South Africa","Centurion","10 Oct 2001"
"DNB","-","-","0","0","","v Kenya","Bloemfontein","12 Oct 2001"
"11","-","-","0","0","","v Kenya","Port Elizabeth","17 Oct 2001"
"71*","-","-","0","0","","v South Africa","East London","19 Oct 2001"
"DNB","-","-","0","2","","v Kenya","Paarl","24 Oct 2001"
"77","-","-","0","1","","v South Africa","Durban","26 Oct 2001"
"23","-","-","0","0","","v Zimbabwe","Faridabad","7 Mar 2002"
"66*","-","-","0","0","","v Zimbabwe","Mohali","10 Mar 2002"
"6","-","-","0","0","","v Zimbabwe","Kochi","13 Mar 2002"
"32","-","-","2","0","","v Zimbabwe","Hyderabad (Deccan)","16 Mar 2002"
"26","-","-","1","0","","v Zimbabwe","Guwahati","19 Mar 2002"
"9*","-","-","1","1","","v West Indies","Bridgetown","29 May 2002"
"28","-","-","0","0","","v West Indies","Port of Spain","1 Jun 2002"
"20","-","-","0","0","","v West Indies","Port of Spain","2 Jun 2002"
"73*","-","-","2","1","","v England","Lord's","29 Jun 2002"
"8","-","-","3","0","","v Sri Lanka","The Oval","30 Jun 2002"
"82","-","-","0","0","","v England","Chester-le-Street","4 Jul 2002"
"64","-","-","1","0","","v Sri Lanka","Birmingham","6 Jul 2002"
"13","-","-","0","2","","v Sri Lanka","Bristol","11 Jul 2002"
"5","-","-","0","0","","v England","Lord's","13 Jul 2002"
"71","-","-","1","0","","v Zimbabwe","Colombo (RPS)","14 Sep 2002"
"DNB","-","-","2","0","","v England","Colombo (RPS)","22 Sep 2002"
"49","-","-","1","0","","v South Africa","Colombo (RPS)","25 Sep 2002"
"DNB","-","-","1","0","","v Sri Lanka","Colombo (RPS)","29 Sep 2002"
"DNB","-","-","0","0","","v Sri Lanka","Colombo (RPS)","30 Sep 2002"
"46*","-","-","1","0","","v West Indies","Jamshedpur","6 Nov 2002"
"51","-","-","0","0","","v West Indies","Nagpur","9 Nov 2002"
"DNB","-","-","2","0","","v West Indies","Rajkot","12 Nov 2002"
"109*","-","-","1","0","","v West Indies","Ahmedabad","15 Nov 2002"
"33","-","-","1","0","","v West Indies","Vadodara","18 Nov 2002"
"58","-","-","1","0","","v West Indies","Jodhpur","21 Nov 2002"
"3","-","-","0","1","","v West Indies","Vijayawada","24 Nov 2002"
"20","-","-","3","0","","v New Zealand","Auckland","26 Dec 2002"
"18","-","-","1","0","","v New Zealand","Napier","29 Dec 2002"
"20","-","-","0","0","","v New Zealand","Christchurch","1 Jan 2003"
"18","-","-","1","0","","v New Zealand","Queenstown","4 Jan 2003"
"7","-","-","1","0","","v New Zealand","Wellington","8 Jan 2003"
"21","-","-","2","0","","v New Zealand","Auckland","11 Jan 2003"
"12","-","-","0","0","","v New Zealand","Hamilton","14 Jan 2003"
"17","-","-","3","0","","v Netherlands","Paarl","12 Feb 2003"
"1","-","-","0","1","","v Australia","Centurion","15 Feb 2003"
"43*","-","-","1","0","","v Zimbabwe","Harare","19 Feb 2003"
"DNB","-","-","2","0","","v Namibia","Pietermaritzburg","23 Feb 2003"
"62","-","-","3","0","","v England","Durban","26 Feb 2003"
"44*","-","-","1","0","","v Pakistan","Centurion","1 Mar 2003"
"32","-","-","0","0","","v Kenya","Cape Town","7 Mar 2003"
"18*","-","-","1","0","","v Sri Lanka","Johannesburg","10 Mar 2003"
"53*","-","-","1","0","","v New Zealand","Centurion","14 Mar 2003"
"1*","-","-","2","0","","v Kenya","Durban","20 Mar 2003"
"47","-","-","1","0","","v Australia","Johannesburg","23 Mar 2003"
"4","-","-","-","-","","v New Zealand","Chennai","23 Oct 2003"
"DNB","-","-","0","0","","v Australia","Gwalior","26 Oct 2003"
"59","-","-","0","0","","v Australia","Mumbai","1 Nov 2003"
"31","-","-","0","0","","v New Zealand","Cuttack","6 Nov 2003"
"34","-","-","0","0","","v Australia","Bengaluru","12 Nov 2003"
"50*","-","-","1","1","","v New Zealand","Hyderabad (Deccan)","15 Nov 2003"
"49","-","-","0","0","","v Australia","Kolkata","18 Nov 2003"
"16","-","-","0","0","","v Australia","Melbourne","9 Jan 2004"
"DNB","-","-","0","0","","v Zimbabwe","Hobart","14 Jan 2004"
"74","-","-","2","0","","v Australia","Brisbane","18 Jan 2004"
"84","-","-","0","0","","v Zimbabwe","Brisbane","20 Jan 2004"
"12","-","-","0","0","","v Australia","Sydney","22 Jan 2004"
"56","-","-","0","0","","v Zimbabwe","Adelaide","24 Jan 2004"
"13","-","-","0","0","","v Australia","Perth","1 Feb 2004"
"10","-","-","1","0","","v Zimbabwe","Perth","3 Feb 2004"
"12","-","-","1","0","","v Australia","Melbourne","6 Feb 2004"
"0","-","-","1","0","","v Australia","Sydney","8 Feb 2004"
"99","-","-","2","0","","v Pakistan","Karachi","13 Mar 2004"
"36","-","-","1","0","","v Pakistan","Rawalpindi","16 Mar 2004"
"33","-","-","0","0","","v Pakistan","Peshawar","19 Mar 2004"
"76*","-","-","0","1","","v Pakistan","Lahore","21 Mar 2004"
"4","-","-","0","0","","v Pakistan","Lahore","24 Mar 2004"
"104","-","-","1","1","","v U.A.E.","Dambulla","16 Jul 2004"
"82","-","-","0","0","","v Sri Lanka","Dambulla","18 Jul 2004"
"DNB","-","-","2","0","","v Bangladesh","Colombo (SSC)","21 Jul 2004"
"5","-","-","0","0","","v Pakistan","Colombo (RPS)","25 Jul 2004"
"1","-","-","0","0","","v Sri Lanka","Colombo (RPS)","27 Jul 2004"
"16","-","-","0","1","","v Sri Lanka","Colombo (RPS)","1 Aug 2004"
"0","-","-","3","0","","v Pakistan","Amstelveen","21 Aug 2004"
"TDNB","-","-","1","0","","v Australia","Amstelveen","23 Aug 2004"
"13","-","-","0","0","","v England","Nottingham","1 Sep 2004"
"1","-","-","3","0","","v England","The Oval","3 Sep 2004"
"52","-","-","0","0","","v England","Lord's","5 Sep 2004"
"30*","-","-","0","0","","v Kenya","Southampton","11 Sep 2004"
"67","-","-","3","0","","v Pakistan","Birmingham","19 Sep 2004"
"16","-","-","1","0","","v Pakistan","Kolkata","13 Nov 2004"
"53","-","-","1","0","","v Bangladesh","Chattogram","23 Dec 2004"
"60","-","-","1","0","","v Bangladesh","Dhaka","27 Dec 2004"
"75*","-","-","0","0","","v ICC World XI","Melbourne","10 Jan 2005"
"104","-","-","0","0","","v Pakistan","Kochi","2 Apr 2005"
"52","-","-","0","0","","v Pakistan","Visakhapatnam","5 Apr 2005"
"28","-","-","3","0","","v Pakistan","Jamshedpur","9 Apr 2005"
"19","-","-","0","0","","v Pakistan","Ahmedabad","12 Apr 2005"
"86","-","-","0","0","","v Pakistan","Kanpur","15 Apr 2005"
"19","-","-","0","0","","v Pakistan","Delhi","17 Apr 2005"
"54","-","-","0","0","","v Sri Lanka","Dambulla","30 Jul 2005"
"52*","-","-","1","0","","v West Indies","Dambulla","31 Jul 2005"
"0","-","-","0","0","","v Sri Lanka","Dambulla","3 Aug 2005"
"10","-","-","1","0","","v West Indies","Colombo (RPS)","7 Aug 2005"
"69","-","-","0","0","","v Sri Lanka","Colombo (RPS)","9 Aug 2005"
"5","-","-","1","0","","v New Zealand","Bulawayo","26 Aug 2005"
"14","-","-","1","0","","v Zimbabwe","Harare","29 Aug 2005"
"39","-","-","0","0","","v New Zealand","Harare","2 Sep 2005"
"6","-","-","0","0","","v Zimbabwe","Harare","4 Sep 2005"
"0","-","-","0","0","","v New Zealand","Harare","6 Sep 2005"
"4","-","-","0","0","","v Australia","Melbourne (Docklands)","5 Oct 2005"
"26","-","-","0","0","","v Australia","Melbourne (Docklands)","7 Oct 2005"
"16","-","-","0","0","","v Australia","Melbourne (Docklands)","9 Oct 2005"
"85*","-","-","1","0","","v Sri Lanka","Nagpur","25 Oct 2005"
"2*","-","-","1","0","","v Sri Lanka","Mohali","28 Oct 2005"
