"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"64","-","-","0","0","","v Australia","Melbourne (Docklands)","5 Oct 2005"
"61","-","-","0","0","","v Australia","Melbourne (Docklands)","7 Oct 2005"
"13","-","-","1","0","","v Australia","Melbourne (Docklands)","9 Oct 2005"
"43","-","-","2","0","","v India","Nagpur","25 Oct 2005"
"27","-","-","0","0","","v India","Mohali","28 Oct 2005"
"138*","-","-","1","0","","v India","Jaipur","31 Oct 2005"
"8","-","-","2","0","","v India","Pune","3 Nov 2005"
"39","-","-","0","0","","v India","Ahmedabad","6 Nov 2005"
"9","-","-","0","0","","v India","Rajkot","9 Nov 2005"
"32","-","-","1","0","","v India","Vadodara","12 Nov 2005"
"0","-","-","1","0","","v New Zealand","Queenstown","31 Dec 2005"
"36","-","-","1","0","","v New Zealand","Christchurch","3 Jan 2006"
"52","-","-","1","0","","v New Zealand","Wellington","6 Jan 2006"
"58","-","-","0","0","","v New Zealand","Napier","8 Jan 2006"
"16","-","-","0","0","","v Australia","Melbourne (Docklands)","13 Jan 2006"
"88","-","-","0","0","","v South Africa","Brisbane","17 Jan 2006"
"78","-","-","0","0","","v Australia","Sydney","22 Jan 2006"
"23","-","-","0","1","","v South Africa","Adelaide","24 Jan 2006"
"25","-","-","1","0","","v Australia","Adelaide","26 Jan 2006"
"6","-","-","1","0","","v Australia","Perth","29 Jan 2006"
"16","-","-","2","2","","v South Africa","Perth","31 Jan 2006"
"62","-","-","1","0","","v South Africa","Hobart","7 Feb 2006"
"83","-","-","0","1","","v Australia","Adelaide","10 Feb 2006"
"13","-","-","0","0","","v Australia","Sydney","12 Feb 2006"
"59","-","-","0","0","","v Australia","Brisbane","14 Feb 2006"
"50","-","-","3","0","","v Bangladesh","Bogra","20 Feb 2006"
"23","-","-","1","0","","v Bangladesh","Bogra","22 Feb 2006"
"109","-","-","1","0","","v Bangladesh","Chattogram","25 Feb 2006"
"TDNB","-","-","1","0","","v Pakistan","Colombo (RPS)","17 Mar 2006"
"1","-","-","2","0","","v Pakistan","Colombo (RPS)","19 Mar 2006"
"22","-","-","0","2","","v Pakistan","Colombo (SSC)","22 Mar 2006"
"15","-","-","1","0","","v England","Lord's","17 Jun 2006"
"51","-","-","1","1","","v England","The Oval","20 Jun 2006"
"58*","-","-","1","0","","v England","Chester-le-Street","24 Jun 2006"
"7","-","-","1","2","","v England","Manchester","28 Jun 2006"
"23*","-","-","2","0","","v England","Leeds","1 Jul 2006"
"46","-","-","1","0","","v Netherlands","Amstelveen","4 Jul 2006"
"28","-","-","0","1","","v Netherlands","Amstelveen","6 Jul 2006"
"TDNB","-","-","0","0","","v India","Colombo (SSC)","18 Aug 2006"
"22","-","-","3","1","","v Bangladesh","Mohali","7 Oct 2006"
