Bat1,Wkts,Conc,Ct,St,,Opposition,Ground,Start Date
11,-,-,0,0,,v Pakistan,Melbourne,04-Feb-05
41,-,-,0,0,,v Pakistan,Sydney,06-Feb-05
61,-,-,0,0,,v New Zealand,Wellington,19-Feb-05
53,-,-,1,0,,v New Zealand,Christchurch,22-Feb-05
11,-,-,0,0,,v New Zealand,Auckland,26-Feb-05
141*,-,-,0,0,,v New Zealand,Napier,05-Mar-05
1,-,-,0,0,,v Bangladesh,Cardiff,18-Jun-05
0,-,-,0,0,,v England,Bristol,19-Jun-05
27,-,-,1,0,,v England,Chester-le-Street,23-Jun-05
DNB,-,-,0,0,,v Bangladesh,Manchester,25-Jun-05
34,-,-,0,0,,v England,Birmingham,28-Jun-05
66,-,-,1,0,,v Bangladesh,Canterbury,30-Jun-05
7,-,-,1,0,,v England,Lord's,02-Jul-05
14,-,-,0,0,,v England,Leeds,07-Jul-05
111,-,-,1,0,,v England,Lord's,10-Jul-05
43,-,-,0,0,,v England,The Oval,12-Jul-05
23,-,-,3,0,,v ICC World XI,Melbourne (Docklands),05-Oct-05
66,-,-,1,0,,v ICC World XI,Melbourne (Docklands),07-Oct-05
68,-,-,0,0,,v ICC World XI,Melbourne (Docklands),09-Oct-05
63,-,-,1,0,,v New Zealand,Auckland,03-Dec-05
28,-,-,0,0,,v New Zealand,Wellington,07-Dec-05
75,-,-,0,0,,v New Zealand,Christchurch,10-Dec-05
13,-,-,1,0,,v Sri Lanka,Melbourne (Docklands),13-Jan-06
33,-,-,0,0,,v South Africa,Brisbane,15-Jan-06
9,-,-,0,0,,v South Africa,Melbourne (Docklands),20-Jan-06
13,-,-,0,0,,v Sri Lanka,Sydney,22-Jan-06
53,-,-,1,0,,v South Africa,Melbourne (Docklands),03-Feb-06
72,-,-,0,0,,v South Africa,Sydney,05-Feb-06
0,-,-,0,0,,v Sri Lanka,Adelaide,10-Feb-06
124,-,-,2,0,,v Sri Lanka,Sydney,12-Feb-06
28*,-,-,1,0,,v Sri Lanka,Brisbane,14-Feb-06
62,-,-,0,0,,v South Africa,Port Elizabeth,05-Mar-06
7,-,-,0,0,,v South Africa,Durban,10-Mar-06
164,-,-,1,0,,v South Africa,Johannesburg,12-Mar-06
14,-,-,0,0,,v Bangladesh,Chattogram,23-Apr-06
5,-,-,0,0,,v Bangladesh,Fatullah,26-Apr-06
54,-,-,2,0,,v West Indies,Kuala Lumpur,12-Sep-06
19,-,-,0,0,,v India,Kuala Lumpur,16-Sep-06
4,-,-,0,0,,v India,Kuala Lumpur,22-Sep-06
6,-,-,2,0,,v West Indies,Kuala Lumpur,24-Sep-06
1,-,-,2,0,,v West Indies,Mumbai (BS),18-Oct-06
1,-,-,1,0,,v England,Jaipur,21-Oct-06
58,-,-,0,0,,v India,Mohali,29-Oct-06
58,-,-,2,0,,v New Zealand,Mohali,01-Nov-06
0,-,-,1,0,,v West Indies,Mumbai (BS),05-Nov-06
82*,-,-,1,0,,v England,Melbourne,12-Jan-07
10,-,-,0,0,,v New Zealand,Hobart,14-Jan-07
5,-,-,1,0,,v New Zealand,Sydney,21-Jan-07
51*,-,-,1,0,,v England,Adelaide,26-Jan-07
111,-,-,0,0,,v New Zealand,Perth,28-Jan-07
104,-,-,0,0,,v New Zealand,Melbourne,04-Feb-07
75,-,-,0,0,,v England,Melbourne,09-Feb-07
7,-,-,0,0,,v England,Sydney,11-Feb-07
113,-,-,0,0,,v Scotland,Basseterre,14-Mar-07
23,-,-,0,0,,v Netherlands,Basseterre,18-Mar-07
91,-,-,0,0,,v South Africa,Basseterre,24-Mar-07
35,-,-,2,0,,v West Indies,North Sound,27-Mar-07
DNB,-,-,2,0,,v Bangladesh,North Sound,31-Mar-07
86,-,-,0,0,,v England,North Sound,08-Apr-07
DNB,-,-,1,0,,v Ireland,Bridgetown,13-Apr-07
66*,-,-,0,0,,v Sri Lanka,St George's,16-Apr-07
66,-,-,1,0,,v New Zealand,St George's,20-Apr-07
22,-,-,0,0,,v South Africa,Gros Islet,25-Apr-07
