"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"DNB","-","-","2","0","","v England","Dambulla","18 Nov 2003"
"61","-","-","0","0","","v Australia","Dambulla","20 Feb 2004"
"38","-","-","1","0","","v Australia","Dambulla","22 Feb 2004"
"80","-","-","1","0","","v Australia","Colombo (RPS)","25 Feb 2004"
"25","-","-","0","0","","v Australia","Colombo (RPS)","27 Feb 2004"
"21","-","-","1","0","","v Australia","Colombo (SSC)","29 Feb 2004"
"5","-","-","1","0","","v Zimbabwe","Bulawayo","20 Apr 2004"
"DNB","-","-","1","0","","v Zimbabwe","Bulawayo","22 Apr 2004"
"3*","-","-","0","0","","v Zimbabwe","Harare","25 Apr 2004"
"26","-","-","1","0","","v Zimbabwe","Harare","27 Apr 2004"
"47","-","-","1","0","","v Zimbabwe","Harare","29 Apr 2004"
"26","-","-","0","0","","v U.A.E.","Dambulla","17 Jul 2004"
"58*","-","-","0","0","","v India","Dambulla","18 Jul 2004"
"19*","-","-","2","0","","v Pakistan","Colombo (RPS)","21 Jul 2004"
"DNB","-","-","0","0","","v Bangladesh","Colombo (RPS)","23 Jul 2004"
"18","-","-","0","0","","v India","Colombo (RPS)","27 Jul 2004"
"0","-","-","2","0","","v India","Colombo (RPS)","1 Aug 2004"
"19","-","-","0","0","","v South Africa","Colombo (RPS)","20 Aug 2004"
"0","-","-","1","0","","v South Africa","Colombo (RPS)","22 Aug 2004"
"21","-","-","0","0","","v South Africa","Dambulla","25 Aug 2004"
"48*","-","-","0","0","","v South Africa","Dambulla","28 Aug 2004"
"39","-","-","0","0","","v South Africa","Colombo (SSC)","31 Aug 2004"
"28","-","-","2","0","","v Zimbabwe","The Oval","14 Sep 2004"
"7","0","16","1","0","","v England","Southampton","17 Sep 2004"
"18","-","-","0","0","","v Pakistan","Karachi","6 Oct 2004"
"DNB","-","-","0","0","","v Zimbabwe","Rawalpindi","9 Oct 2004"
"18","-","-","0","0","","v Pakistan","Lahore","14 Oct 2004"
"49","-","-","0","0","","v Pakistan","Lahore","16 Oct 2004"
"2","-","-","0","0","","v New Zealand","Auckland","26 Dec 2004"
"15","-","-","1","0","","v India","Dambulla","30 Jul 2005"
"16","-","-","0","0","","v West Indies","Dambulla","2 Aug 2005"
"94*","-","-","0","0","","v India","Dambulla","3 Aug 2005"
"22","-","-","0","0","","v West Indies","Colombo (RPS)","6 Aug 2005"
"83","-","-","0","0","","v India","Colombo (RPS)","9 Aug 2005"
"52","-","-","4","0","","v Africa XI","Durban","20 Aug 2005"
"0*","-","-","1","0","","v Africa XI","Durban","21 Aug 2005"
"50","-","-","1","0","","v Bangladesh","Colombo (SSC)","31 Aug 2005"
