"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"11","-","-","0","0","","v Sri Lanka","Dambulla","18 Jul 2004"
"18","3","21","0","0","","v U.A.E.","Dambulla","16 Jul 2004"
"37","0","27","1","0","","v Pakistan","Lahore","24 Mar 2004"
"7","1","48","0","0","","v Pakistan","Lahore","21 Mar 2004"
"0","1","31","0","0","","v Pakistan","Peshawar","19 Mar 2004"
"141","0","45","0","0","","v Pakistan","Rawalpindi","16 Mar 2004"
"28","0","34","0","0","","v Pakistan","Karachi","13 Mar 2004"
"27","1","60","0","0","","v Australia","Sydney","8 Feb 2004"
"8","-","-","1","0","","v Australia","Melbourne","6 Feb 2004"
"3","-","-","0","0","","v Zimbabwe","Perth","3 Feb 2004"
"5","-","-","0","0","","v Australia","Perth","1 Feb 2004"
"86","-","-","0","0","","v Australia","Brisbane","18 Jan 2004"
"44","-","-","0","0","","v Zimbabwe","Hobart","14 Jan 2004"
"63","-","-","1","0","","v Australia","Melbourne","9 Jan 2004"
"45","-","-","0","0","","v Australia","Kolkata","18 Nov 2003"
"102","0","40","0","0","","v New Zealand","Hyderabad (Deccan)","15 Nov 2003"
"89","-","-","0","0","","v Australia","Bengaluru","12 Nov 2003"
"14","0","25","0","0","","v New Zealand","Cuttack","6 Nov 2003"
"68","0","21","0","0","","v Australia","Mumbai","1 Nov 2003"
"100","1","39","0","0","","v Australia","Gwalior","26 Oct 2003"
"48*","-","-","-","-","","v New Zealand","Chennai","23 Oct 2003"
"4","0","20","0","0","","v Australia","Johannesburg","23 Mar 2003"
"83","2","28","0","0","","v Kenya","Durban","20 Mar 2003"
"15","0","20","1","0","","v New Zealand","Centurion","14 Mar 2003"
"97","-","-","1","0","","v Sri Lanka","Johannesburg","10 Mar 2003"
"5","-","-","1","0","","v Kenya","Cape Town","7 Mar 2003"
"98","-","-","0","0","","v Pakistan","Centurion","1 Mar 2003"
"50","-","-","1","0","","v England","Durban","26 Feb 2003"
"152","-","-","0","0","","v Namibia","Pietermaritzburg","23 Feb 2003"
"81","-","-","0","0","","v Zimbabwe","Harare","19 Feb 2003"
"36","-","-","0","0","","v Australia","Centurion","15 Feb 2003"
"52","0","9","0","0","","v Netherlands","Paarl","12 Feb 2003"
"1","-","-","0","0","","v New Zealand","Hamilton","14 Jan 2003"
"1","-","-","0","0","","v New Zealand","Auckland","11 Jan 2003"
"0","-","-","0","0","","v New Zealand","Wellington","8 Jan 2003"
"7*","0","36","0","0","","v Sri Lanka","Colombo (RPS)","30 Sep 2002"
"DNB","1","36","1","0","","v Sri Lanka","Colombo (RPS)","29 Sep 2002"
"16","0","32","0","0","","v South Africa","Colombo (RPS)","25 Sep 2002"
"9*","1","13","0","0","","v England","Colombo (RPS)","22 Sep 2002"
"7","2","41","0","0","","v Zimbabwe","Colombo (RPS)","14 Sep 2002"
"14","-","-","0","0","","v England","Lord's","13 Jul 2002"
"113","-","-","0","0","","v Sri Lanka","Bristol","11 Jul 2002"
"36","0","9","0","0","","v England","The Oval","9 Jul 2002"
"19","0","18","0","0","","v Sri Lanka","Birmingham","6 Jul 2002"
"105*","-","-","0","0","","v England","Chester-le-Street","4 Jul 2002"
"49","-","-","0","0","","v Sri Lanka","The Oval","30 Jun 2002"
"1","-","-","0","0","","v England","Lord's","29 Jun 2002"
"65","1","20","0","0","","v West Indies","Port of Spain","2 Jun 2002"
"34*","-","-","0","0","","v West Indies","Bridgetown","29 May 2002"
"12","1","30","0","0","","v England","Mumbai","3 Feb 2002"
"18","1","45","0","0","","v England","Delhi","31 Jan 2002"
"87*","0","17","1","0","","v England","Kanpur","28 Jan 2002"
"68","0","8","1","0","","v England","Chennai","25 Jan 2002"
"45","0","35","0","0","","v England","Cuttack","22 Jan 2002"
"36","0","23","1","0","","v England","Kolkata","19 Jan 2002"
"17","2","27","0","0","","v South Africa","Durban","26 Oct 2001"
"146","-","-","0","0","","v Kenya","Paarl","24 Oct 2001"
"37","-","-","0","0","","v South Africa","East London","19 Oct 2001"
"3","-","-","1","0","","v Kenya","Port Elizabeth","17 Oct 2001"
"DNB","-","-","0","0","","v Kenya","Bloemfontein","12 Oct 2001"
"38","0","21","0","0","","v South Africa","Centurion","10 Oct 2001"
"101","0","51","0","0","","v South Africa","Johannesburg","5 Oct 2001"
"0","-","-","0","0","","v West Indies","Harare","7 Jul 2001"
"122*","0","11","0","0","","v West Indies","Harare","4 Jul 2001"
"81*","0","14","0","0","","v West Indies","Bulawayo","30 Jun 2001"
