"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"2","-","-","0","0","","v New Zealand","Taupo","4 Jan 2000"
"30","-","-","0","0","","v New Zealand","Napier","6 Jan 2000"
"5","-","-","0","0","","v New Zealand","Wellington","8 Jan 2000"
"37","-","-","2","0","","v New Zealand","Christchurch","11 Jan 2000"
"60","-","-","0","0","","v Zimbabwe","Bristol","6 Jul 2000"
"TDNB","-","-","0","0","","v England","Lord's","9 Jul 2000"
"3","-","-","0","0","","v Zimbabwe","Canterbury","11 Jul 2000"
"54","-","-","0","0","","v England","Chester-le-Street","15 Jul 2000"
"87","-","-","0","0","","v Zimbabwe","Chester-le-Street","16 Jul 2000"
"5","-","-","0","0","","v Sri Lanka","Nairobi (Gym)","4 Oct 2000"
"28","-","-","1","0","","v Australia","Melbourne","11 Jan 2001"
"21","-","-","0","0","","v Zimbabwe","Brisbane","13 Jan 2001"
"19","-","-","0","0","","v Australia","Brisbane","14 Jan 2001"
"116*","-","-","0","0","","v Australia","Sydney","17 Jan 2001"
"0","-","-","1","0","","v Zimbabwe","Sydney","23 Jan 2001"
"70","-","-","0","0","","v Zimbabwe","Adelaide","25 Jan 2001"
"0","-","-","0","0","","v Australia","Adelaide","26 Jan 2001"
"83*","-","-","0","0","","v Zimbabwe","Perth","2 Feb 2001"
"35","-","-","1","0","","v Australia","Sydney","7 Feb 2001"
"0","-","-","1","0","","v Australia","Melbourne","9 Feb 2001"
"54","-","-","0","0","","v South Africa","Kingston","28 Apr 2001"
"13","-","-","0","0","","v South Africa","St John's","2 May 2001"
"31","-","-","0","0","","v South Africa","St George's","5 May 2001"
"25","-","-","0","0","","v South Africa","St George's","6 May 2001"
"92","-","-","1","0","","v South Africa","Bridgetown","9 May 2001"
"41","-","-","1","0","","v South Africa","Port of Spain","12 May 2001"
"18","-","-","1","0","","v South Africa","Kingstown","16 May 2001"
"2","-","-","0","0","","v Zimbabwe","Colombo (SSC)","9 Dec 2001"
"60","-","-","0","0","","v Sri Lanka","Colombo (RPS)","11 Dec 2001"
"24*","-","-","0","0","","v Sri Lanka","Kandy","15 Dec 2001"
"5","-","-","0","0","","v India","Bridgetown","29 May 2002"
"4*","-","-","1","0","","v India","Port of Spain","1 Jun 2002"
"36","-","-","0","0","","v India","Port of Spain","2 Jun 2002"
"TDNB","-","-","0","0","","v New Zealand","Kingston","5 Jun 2002"
"9*","-","-","0","0","","v New Zealand","Gros Islet","8 Jun 2002"
"59*","-","-","0","0","","v New Zealand","Gros Islet","9 Jun 2002"
"0","-","-","0","0","","v New Zealand","Port of Spain","12 Jun 2002"
"47","-","-","0","0","","v New Zealand","Kingstown","16 Jun 2002"
"21","-","-","0","0","","v South Africa","Colombo (SSC)","13 Sep 2002"
"111","-","-","0","0","","v Kenya","Colombo (SSC)","17 Sep 2002"
"116","-","-","0","0","","v South Africa","Cape Town","9 Feb 2003"
"2","-","-","0","0","","v New Zealand","Port Elizabeth","13 Feb 2003"
"46","-","-","0","0","","v Bangladesh","Benoni","18 Feb 2003"
"73","-","-","0","0","","v Canada","Centurion","23 Feb 2003"
"1","-","-","1","0","","v Sri Lanka","Cape Town","28 Feb 2003"
"10","-","-","1","0","","v Kenya","Kimberley","4 Mar 2003"
"23","-","-","0","0","","v Australia","Kingston","17 May 2003"
"5","-","-","0","0","","v Australia","Kingston","18 May 2003"
"4","-","-","0","0","","v Australia","Gros Islet","21 May 2003"
"40","-","-","1","0","","v Australia","Port of Spain","24 May 2003"
"80","0","15","1","0","","v Australia","Port of Spain","25 May 2003"
"15","-","-","3","0","","v Australia","St George's","30 May 2003"
"75*","-","-","0","0","","v Australia","St George's","1 Jun 2003"
"64*","-","-","0","0","","v Sri Lanka","Bridgetown","7 Jun 2003"
"116","-","-","1","0","","v Sri Lanka","Bridgetown","8 Jun 2003"
"14","-","-","2","0","","v Sri Lanka","Kingstown","11 Jun 2003"
"113","-","-","1","0","","v Zimbabwe","Bulawayo","22 Nov 2003"
"2","-","-","0","0","","v Zimbabwe","Bulawayo","23 Nov 2003"
"34","-","-","0","0","","v Zimbabwe","Harare","26 Nov 2003"
"14","-","-","0","0","","v Zimbabwe","Harare","29 Nov 2003"
"41","-","-","1","0","","v Zimbabwe","Harare","30 Nov 2003"
"2","-","-","0","0","","v South Africa","Cape Town","25 Jan 2004"
"9","-","-","0","0","","v South Africa","Port Elizabeth","28 Jan 2004"
"15","-","-","1","0","","v South Africa","Durban","30 Jan 2004"
"59*","-","-","0","0","","v South Africa","Centurion","1 Feb 2004"
"11","-","-","1","0","","v South Africa","Johannesburg","4 Feb 2004"
"DNB","-","-","-","-","","v England","Port of Spain","24 Apr 2004"
"37","-","-","0","0","","v England","Gros Islet","1 May 2004"
"57","-","-","0","0","","v England","Gros Islet","2 May 2004"
"8","-","-","0","0","","v England","Bridgetown","5 May 2004"
"36","-","-","0","0","","v New Zealand","Birmingham","26 Jun 2004"
"32*","-","-","1","0","","v England","Nottingham","27 Jun 2004"
"6","-","-","0","0","","v England","Leeds","1 Jul 2004"
"58","-","-","1","0","","v New Zealand","Cardiff","3 Jul 2004"
"10","-","-","0","0","","v England","Lord's","6 Jul 2004"
"TDNB","-","-","-","-","","v New Zealand","Southampton","8 Jul 2004"
"30","-","-","0","0","","v New Zealand","Lord's","10 Jul 2004"
"20","-","-","0","0","","v Bangladesh","Southampton","15 Sep 2004"
"49","-","-","0","0","","v South Africa","The Oval","18 Sep 2004"
"31*","-","-","0","0","","v Pakistan","Southampton","22 Sep 2004"
"14","-","-","3","0","","v England","The Oval","25 Sep 2004"
"52","-","-","0","0","","v Asia XI","Melbourne","10 Jan 2005"
"58","-","-","0","0","","v Australia","Melbourne","14 Jan 2005"
"39","-","-","1","0","","v Pakistan","Brisbane","19 Jan 2005"
"6","-","-","0","0","","v Australia","Brisbane","21 Jan 2005"
"29","-","-","0","0","","v Australia","Adelaide","26 Jan 2005"
"156","-","-","1","0","","v Pakistan","Adelaide","28 Jan 2005"
"19","-","-","0","0","","v Pakistan","Perth","1 Feb 2005"
"8","-","-","0","0","","v South Africa","Kingston","7 May 2005"
"0","-","-","1","0","","v South Africa","Kingston","8 May 2005"
